year_date,year,team,city,player_name,postseason,games_played,minutes_played,points_per_game,def_points_per_game,point_difference,field_goal_made,field_goal_attempted,field_goal_percentage,def_field_goal_percentage,two_points_made,two_points_attempted,two_points_percentage,three_points_made,three_points_attempted,three_points_percentage,def_three_points_percentage,free_throws_made,free_throws_attempted,free_throws_percentage,offensive_rebounds,defensive_rebounds,total_rebounds,offensive_rebounds_percentage,defensive_rebounds_percentage,total_rebounds_percentage,assists,steals,blocks,turnovers,def_turnovers,fouls
2011-02-01T08:00:00.000Z,2011,Pacers,Indianapolis,"",false,82,0,99.8,0,0,36.6,82.8,44.2,0,29.5,62.6,47.1,7.1,20.2,35.4,0,19.4,24.8,78.2,11.1,32.4,43.5,0,0,0,19.6,7.1,5.6,15.4,0,21.7
2011-02-01T08:00:00.000Z,2011,Jazz,Salt Lake City,"",false,82,0,99.4,0,0,37.4,80.4,46.5,0,32.1,65,49.3,5.3,15.3,34.6,0,19.4,25.1,77.1,11,28.5,39.5,0,0,0,23.4,7.7,5.9,14.3,0,22.7
2011-02-01T08:00:00.000Z,2011,Kings,Sacramento,"",false,82,0,99.4,0,0,38.2,85.1,44.9,0,33,69.5,47.5,5.2,15.6,33.5,0,17.7,24.2,73.4,13.1,30.8,43.9,0,0,0,20.4,7.4,4.8,16.1,0,22
2011-02-01T08:00:00.000Z,2011,Magic,Orlando,"",false,82,0,99.2,0,0,36,78.2,46.1,0,26.7,52.5,50.7,9.4,25.6,36.6,0,17.7,25.6,69.2,10.5,32.7,43.2,0,0,0,20,6.7,4.7,14.9,0,20
2011-02-01T08:00:00.000Z,2011,Raptors,Toronto,"",false,82,0,99.1,0,0,38.3,82.4,46.5,0,34.1,69.1,49.4,4.2,13.3,31.6,0,18.2,24.1,75.5,11.7,28.6,40.3,0,0,0,21.9,7,4.3,14.7,0,22
2011-02-01T08:00:00.000Z,2011,76ers,Philadelphia,"",false,82,0,99,0,0,38.1,82.6,46.1,0,32.7,67.4,48.5,5.4,15.2,35.5,0,17.4,22.6,77,10.4,31.4,41.8,0,0,0,22.7,7.6,4.3,13,0,19.4
2011-02-01T08:00:00.000Z,2011,Bulls,Chicago,"",false,82,0,98.6,0,0,37.1,80.3,46.2,0,30.9,63.1,48.9,6.2,17.3,36.1,0,18.2,24.5,74.3,11.8,32.4,44.2,0,0,0,22.3,7.2,5.7,14.2,0,20
2011-02-01T08:00:00.000Z,2011,Clippers,Los Angeles,"",false,82,0,98.6,0,0,36.8,80.4,45.7,0,30.5,61.9,49.3,6.3,18.5,33.8,0,18.9,26.7,70.7,11.6,30.5,42.1,0,0,0,22.1,7.1,4.9,16.4,0,21.1
2011-02-01T08:00:00.000Z,2011,Wizards,Washington,"",false,82,0,97.3,0,0,37.2,84,44.3,0,32.4,69.6,46.5,4.8,14.4,33.2,0,18.2,24.4,74.5,12.4,29,41.3,0,0,0,19.4,8.1,6.1,15.3,0,22.6
2011-02-01T08:00:00.000Z,2011,Pistons,Detroit,"",false,82,0,97,0,0,37.3,81.1,46,0,31.5,65.7,47.9,5.8,15.3,37.6,0,16.7,22.6,73.7,11.4,27.3,38.6,0,0,0,21.1,7.3,4,13,0,19.9
